Matram,longitude,latitude,Z.Elev,Date,Salinity,Dist_to_TanChau_km,WaterLevel_Mean,WL_Mean_3D_Lag,WL_Mean_7D_Lag,Month_sin,Month_cos,Day_sin,Day_cos
BD00022019,106.55,10.47,1.07,2019-04-16,1.7,153.91461224529854,0.24,0.1333333333333332,0.542857142857143,0.8660254037844387,-0.4999999999999998,0.9679377830240642,-0.25119006388481935
BD00022019,106.55,10.47,1.87,2019-05-01,0.5,153.91461224529854,0.37,0.25999999999999984,0.47571428571428587,0.49999999999999994,-0.8660254037844387,0.8717063187093218,-0.4900286664290592
BD00022019,106.55,10.47,1.87,2019-05-16,1.0,153.91461224529854,0.44,0.19999999999999982,0.38000000000000017,0.49999999999999994,-0.8660254037844387,0.717676913675962,-0.6963762255968722
BD00022019,106.55,10.47,1.87,2019-06-01,0.5,153.91461224529854,0.42,0.19666666666666655,0.21571428571428583,1.2246467991473532e-16,-1.0,0.5012418134457758,-0.865307254363206
BD00022019,106.55,10.47,1.87,2019-06-19,0.4,153.91461224529854,1.12,0.8366666666666666,0.5571428571428573,1.2246467991473532e-16,-1.0,0.21352091543979612,-0.9769384927771817
BD00022020,106.55,10.47,1.03,2020-03-09,3.0,153.91461224529854,0.13,-0.03000000000000022,0.09285714285714299,1.0,6.123233995736766e-17,0.9275416835791966,0.37371971479046906
BD00022020,106.55,10.47,1.04,2020-03-27,2.87,153.91461224529854,0.87,0.4299999999999997,0.2371428571428573,1.0,6.123233995736766e-17,0.9973249731081555,0.07309512989807777
BD00022020,106.55,10.47,1.04,2020-04-27,6.6,153.91461224529854,0.72,0.7733333333333331,0.482857142857143,0.8660254037844387,-0.4999999999999998,0.895839290734909,-0.4443781781046132
BD00022020,106.55,10.47,1.04,2020-05-09,2.9,153.91461224529854,0.92,0.17666666666666642,0.054285714285714416,0.49999999999999994,-0.8660254037844387,0.7856498550787147,-0.6186714032625031
BD00022020,106.55,10.47,1.04,2020-05-25,1.29,153.91461224529854,0.68,0.5699999999999997,0.14714285714285727,0.49999999999999994,-0.8660254037844387,0.5877852522924732,-0.8090169943749473
BD00022020,106.55,10.47,1.04,2020-06-09,3.23,153.91461224529854,0.85,0.6466666666666665,0.11571428571428584,1.2246467991473532e-16,-1.0,0.36171373072976765,-0.9322892131745133
BD00022020,106.55,10.47,0.66,2020-06-23,1.87,153.91461224529854,0.8200000000000001,0.5299999999999998,0.018571428571428683,1.2246467991473532e-16,-1.0,0.12874817745258132,-0.99167731989929
BD00022021,106.55,10.47,0.58,2021-01-29,0.72,153.91461224529854,0.81,0.5566666666666665,0.5485714285714287,0.49999999999999994,0.8660254037844387,0.47873384011578846,0.8779600847008882
BD00022021,106.55,10.47,0.58,2021-02-28,1.3,153.91461224529854,0.61,0.30666666666666653,0.21000000000000016,0.8660254037844386,0.5000000000000001,0.8498170915275278,0.5270777086423722
BD00022021,106.55,10.47,0.58,2021-03-15,1.84,153.91461224529854,1.02,0.4633333333333332,0.17857142857142877,1.0,6.123233995736766e-17,0.9562348265919056,0.29260033563334836
BD00022021,106.55,10.47,0.58,2021-03-29,1.9,153.91461224529854,0.5700000000000001,0.20333333333333317,-0.01714285714285696,1.0,6.123233995736766e-17,0.9984354211555643,0.055916990100603484
BD00022021,106.55,10.47,0.58,2021-04-14,2.0,153.91461224529854,1.07,0.5866666666666666,0.19428571428571448,0.8660254037844387,-0.4999999999999998,0.9760105506323683,-0.21772323039653177
BD00022021,106.55,10.47,0.46,2021-04-28,1.5,153.91461224529854,0.48,-0.0333333333333334,-0.14285714285714263,0.8660254037844387,-0.4999999999999998,0.895839290734909,-0.4443781781046132
BD00022021,106.55,10.47,0.46,2021-05-14,1.3,153.91461224529854,1.04,0.8766666666666666,0.43571428571428594,0.49999999999999994,-0.8660254037844387,0.7412220108485958,-0.6712599575675313
BD00032019,106.47,10.51,1.87,2019-03-04,0.1,144.38075520951236,0.68,0.2999999999999997,0.3857142857142858,1.0,6.123233995736766e-17,0.8840675099433636,0.4673592171580022
BD00032019,106.47,10.51,1.87,2019-03-18,0.1,144.38075520951236,0.26,0.0999999999999997,0.3485714285714287,1.0,6.123233995736766e-17,0.9700639218515071,0.2428497220959356
BD00032019,106.47,10.51,1.87,2019-04-02,0.2,144.38075520951236,0.5700000000000001,0.37999999999999984,0.5014285714285716,0.8660254037844387,-0.4999999999999998,0.9999166586547379,-0.01291029607500882
BD00032019,106.47,10.51,1.56,2019-04-16,0.2,144.38075520951236,0.24,0.1333333333333332,0.542857142857143,0.8660254037844387,-0.4999999999999998,0.9679377830240642,-0.25119006388481935
BD00032019,106.47,10.51,1.56,2019-05-01,0.3,144.38075520951236,0.37,0.25999999999999984,0.47571428571428587,0.49999999999999994,-0.8660254037844387,0.8717063187093218,-0.4900286664290592
BD00032019,106.47,10.51,1.56,2019-05-16,0.3,144.38075520951236,0.44,0.19999999999999982,0.38000000000000017,0.49999999999999994,-0.8660254037844387,0.717676913675962,-0.6963762255968722
BD00032019,106.47,10.51,1.56,2019-06-01,0.2,144.38075520951236,0.42,0.19666666666666655,0.21571428571428583,1.2246467991473532e-16,-1.0,0.5012418134457758,-0.865307254363206
BD00032019,106.47,10.51,1.56,2019-06-19,0.2,144.38075520951236,1.12,0.8366666666666666,0.5571428571428573,1.2246467991473532e-16,-1.0,0.21352091543979612,-0.9769384927771817
BD00032020,106.47,10.51,0.66,2020-03-09,1.3,144.38075520951236,0.13,-0.03000000000000022,0.09285714285714299,1.0,6.123233995736766e-17,0.9275416835791966,0.37371971479046906
BD00032020,106.47,10.51,0.66,2020-03-27,1.16,144.38075520951236,0.87,0.4299999999999997,0.2371428571428573,1.0,6.123233995736766e-17,0.9973249731081555,0.07309512989807777
BD00032020,106.47,10.51,0.66,2020-04-27,2.5,144.38075520951236,0.72,0.7733333333333331,0.482857142857143,0.8660254037844387,-0.4999999999999998,0.895839290734909,-0.4443781781046132
BD00032020,106.47,10.51,0.66,2020-05-09,1.33,144.38075520951236,0.92,0.17666666666666642,0.054285714285714416,0.49999999999999994,-0.8660254037844387,0.7856498550787147,-0.6186714032625031
BD00032020,106.47,10.51,0.66,2020-05-25,1.12,144.38075520951236,0.68,0.5699999999999997,0.14714285714285727,0.49999999999999994,-0.8660254037844387,0.5877852522924732,-0.8090169943749473
BD00032020,106.47,10.51,0.66,2020-06-09,0.73,144.38075520951236,0.85,0.6466666666666665,0.11571428571428584,1.2246467991473532e-16,-1.0,0.36171373072976765,-0.9322892131745133
BD00032020,106.47,10.51,0.66,2020-06-23,0.66,144.38075520951236,0.8200000000000001,0.5299999999999998,0.018571428571428683,1.2246467991473532e-16,-1.0,0.12874817745258132,-0.99167731989929
BD00032021,106.47,10.51,0.46,2021-01-29,0.15,144.38075520951236,0.81,0.5566666666666665,0.5485714285714287,0.49999999999999994,0.8660254037844387,0.47873384011578846,0.8779600847008882
BD00032021,106.47,10.51,0.46,2021-02-28,0.2,144.38075520951236,0.61,0.30666666666666653,0.21000000000000016,0.8660254037844386,0.5000000000000001,0.8498170915275278,0.5270777086423722
BD00032021,106.47,10.51,0.46,2021-03-15,0.2,144.38075520951236,1.02,0.4633333333333332,0.17857142857142877,1.0,6.123233995736766e-17,0.9562348265919056,0.29260033563334836
BD00032021,106.47,10.51,0.46,2021-03-29,0.1,144.38075520951236,0.5700000000000001,0.20333333333333317,-0.01714285714285696,1.0,6.123233995736766e-17,0.9984354211555643,0.055916990100603484
BD00032021,106.47,10.51,0.46,2021-04-14,0.2,144.38075520951236,1.07,0.5866666666666666,0.19428571428571448,0.8660254037844387,-0.4999999999999998,0.9760105506323683,-0.21772323039653177
BD00032021,106.47,10.51,0.46,2021-04-28,0.4,144.38075520951236,0.48,-0.0333333333333334,-0.14285714285714263,0.8660254037844387,-0.4999999999999998,0.895839290734909,-0.4443781781046132
BD00032021,106.47,10.51,0.56,2021-05-14,0.3,144.38075520951236,1.04,0.8766666666666666,0.43571428571428594,0.49999999999999994,-0.8660254037844387,0.7412220108485958,-0.6712599575675313
BD00042019,106.41,10.53,1.56,2019-03-04,0.1,137.49347124661062,0.68,0.2999999999999997,0.3857142857142858,1.0,6.123233995736766e-17,0.8840675099433636,0.4673592171580022
BD00042019,106.41,10.53,1.56,2019-03-18,0.1,137.49347124661062,0.26,0.0999999999999997,0.3485714285714287,1.0,6.123233995736766e-17,0.9700639218515071,0.2428497220959356
BD00042019,106.41,10.53,1.0,2019-04-02,0.2,137.49347124661062,0.5700000000000001,0.37999999999999984,0.5014285714285716,0.8660254037844387,-0.4999999999999998,0.9999166586547379,-0.01291029607500882
BD00042019,106.41,10.53,1.0,2019-04-16,0.1,137.49347124661062,0.24,0.1333333333333332,0.542857142857143,0.8660254037844387,-0.4999999999999998,0.9679377830240642,-0.25119006388481935
BD00042019,106.41,10.53,1.0,2019-05-01,0.2,137.49347124661062,0.37,0.25999999999999984,0.47571428571428587,0.49999999999999994,-0.8660254037844387,0.8717063187093218,-0.4900286664290592
BD00042019,106.41,10.53,1.0,2019-05-16,0.2,137.49347124661062,0.44,0.19999999999999982,0.38000000000000017,0.49999999999999994,-0.8660254037844387,0.717676913675962,-0.6963762255968722
BD00042019,106.41,10.53,1.0,2019-06-01,0.2,137.49347124661062,0.42,0.19666666666666655,0.21571428571428583,1.2246467991473532e-16,-1.0,0.5012418134457758,-0.865307254363206
BD00042019,106.41,10.53,1.0,2019-06-19,0.2,137.49347124661062,1.12,0.8366666666666666,0.5571428571428573,1.2246467991473532e-16,-1.0,0.21352091543979612,-0.9769384927771817
BD00042020,106.41,10.53,0.54,2020-03-09,1.2,137.49347124661062,0.13,-0.03000000000000022,0.09285714285714299,1.0,6.123233995736766e-17,0.9275416835791966,0.37371971479046906
BD00042020,106.41,10.53,0.54,2020-03-27,1.5,137.49347124661062,0.87,0.4299999999999997,0.2371428571428573,1.0,6.123233995736766e-17,0.9973249731081555,0.07309512989807777
BD00042020,106.41,10.53,0.54,2020-04-27,1.38,137.49347124661062,0.72,0.7733333333333331,0.482857142857143,0.8660254037844387,-0.4999999999999998,0.895839290734909,-0.4443781781046132
BD00042020,106.41,10.53,0.54,2020-05-09,5.66,137.49347124661062,0.92,0.17666666666666642,0.054285714285714416,0.49999999999999994,-0.8660254037844387,0.7856498550787147,-0.6186714032625031
BD00042020,106.41,10.53,0.54,2020-05-25,1.2,137.49347124661062,0.68,0.5699999999999997,0.14714285714285727,0.49999999999999994,-0.8660254037844387,0.5877852522924732,-0.8090169943749473
BD00042020,106.41,10.53,0.54,2020-06-09,0.52,137.49347124661062,0.85,0.6466666666666665,0.11571428571428584,1.2246467991473532e-16,-1.0,0.36171373072976765,-0.9322892131745133
BD00042020,106.41,10.53,0.54,2020-06-23,0.44,137.49347124661062,0.8200000000000001,0.5299999999999998,0.018571428571428683,1.2246467991473532e-16,-1.0,0.12874817745258132,-0.99167731989929
BD00042021,106.41,10.53,0.56,2021-01-29,0.17,137.49347124661062,0.81,0.5566666666666665,0.5485714285714287,0.49999999999999994,0.8660254037844387,0.47873384011578846,0.8779600847008882
BD00042021,106.41,10.53,0.56,2021-02-28,0.18,137.49347124661062,0.61,0.30666666666666653,0.21000000000000016,0.8660254037844386,0.5000000000000001,0.8498170915275278,0.5270777086423722
BD00042021,106.41,10.53,0.56,2021-03-15,0.39,137.49347124661062,1.02,0.4633333333333332,0.17857142857142877,1.0,6.123233995736766e-17,0.9562348265919056,0.29260033563334836
BD00042021,106.41,10.53,0.56,2021-03-29,0.3,137.49347124661062,0.5700000000000001,0.20333333333333317,-0.01714285714285696,1.0,6.123233995736766e-17,0.9984354211555643,0.055916990100603484
BD00042021,106.41,10.53,0.56,2021-04-14,0.6,137.49347124661062,1.07,0.5866666666666666,0.19428571428571448,0.8660254037844387,-0.4999999999999998,0.9760105506323683,-0.21772323039653177
BD00042021,106.41,10.53,0.56,2021-04-28,0.2,137.49347124661062,0.48,-0.0333333333333334,-0.14285714285714263,0.8660254037844387,-0.4999999999999998,0.895839290734909,-0.4443781781046132
BD00042021,106.41,10.53,0.56,2021-05-14,0.2,137.49347124661062,1.04,0.8766666666666666,0.43571428571428594,0.49999999999999994,-0.8660254037844387,0.7412220108485958,-0.6712599575675313
BD00052019,106.36,10.56,1.0,2019-03-04,0.1,131.4521405591422,0.79,0.4799999999999997,0.36000000000000015,1.0,6.123233995736766e-17,0.8840675099433636,0.4673592171580022
BD00052019,106.36,10.56,0.73,2019-03-18,0.2,131.4521405591422,0.46,0.1599999999999997,0.2714285714285715,1.0,6.123233995736766e-17,0.9700639218515071,0.2428497220959356
BD00052019,106.36,10.56,0.73,2019-04-02,0.6,131.4521405591422,0.66,0.4766666666666665,0.44142857142857156,0.8660254037844387,-0.4999999999999998,0.9999166586547379,-0.01291029607500882
BD00052019,106.36,10.56,0.73,2019-04-16,0.7,131.4521405591422,0.39,0.10333333333333318,0.4285714285714287,0.8660254037844387,-0.4999999999999998,0.9679377830240642,-0.25119006388481935
BD00052019,106.36,10.56,0.73,2019-05-01,0.7,131.4521405591422,0.42,0.30666666666666653,0.37571428571428583,0.49999999999999994,-0.8660254037844387,0.8717063187093218,-0.4900286664290592
BD00052019,106.36,10.56,0.73,2019-05-16,0.6,131.4521405591422,0.53,0.3033333333333332,0.32857142857142874,0.49999999999999994,-0.8660254037844387,0.717676913675962,-0.6963762255968722
BD00052019,106.36,10.56,0.73,2019-06-01,0.3,131.4521405591422,0.63,0.27999999999999986,0.20857142857142869,1.2246467991473532e-16,-1.0,0.5012418134457758,-0.865307254363206
BD00052019,106.36,10.56,0.73,2019-06-19,0.2,131.4521405591422,1.15,1.0,0.6800000000000003,1.2246467991473532e-16,-1.0,0.21352091543979612,-0.9769384927771817
BD00052020,106.36,10.56,0.54,2020-03-09,1.2,131.4521405591422,0.35000000000000003,0.04999999999999979,0.0385714285714287,1.0,6.123233995736766e-17,0.9275416835791966,0.37371971479046906
BD00052020,106.36,10.56,0.57,2020-03-27,1.11,131.4521405591422,0.8,0.5999999999999998,0.36000000000000015,1.0,6.123233995736766e-17,0.9973249731081555,0.07309512989807777
BD00052020,106.36,10.56,0.57,2020-04-27,1.4,131.4521405591422,0.62,0.7533333333333331,0.5642857142857144,0.8660254037844387,-0.4999999999999998,0.895839290734909,-0.4443781781046132
BD00052020,106.36,10.56,0.57,2020-05-09,1.8,131.4521405591422,0.9500000000000001,0.47999999999999976,0.1985714285714287,0.49999999999999994,-0.8660254037844387,0.7856498550787147,-0.6186714032625031
BD00052020,106.36,10.56,0.57,2020-05-25,1.3,131.4521405591422,0.62,0.6833333333333331,0.2842857142857144,0.49999999999999994,-0.8660254037844387,0.5877852522924732,-0.8090169943749473
BD00052020,106.36,10.56,0.57,2020-06-09,0.74,131.4521405591422,0.6900000000000001,0.8399999999999999,0.30000000000000016,1.2246467991473532e-16,-1.0,0.36171373072976765,-0.9322892131745133
BD00052020,106.36,10.56,0.57,2020-06-23,0.58,131.4521405591422,0.75,0.7333333333333331,0.20000000000000012,1.2246467991473532e-16,-1.0,0.12874817745258132,-0.99167731989929
BD00052021,106.36,10.56,0.39,2021-01-29,0.15,131.4521405591422,0.87,0.6799999999999998,0.5614285714285716,0.49999999999999994,0.8660254037844387,0.47873384011578846,0.8779600847008882
BD00052021,106.36,10.56,0.39,2021-02-28,0.2,131.4521405591422,0.8200000000000001,0.4333333333333331,0.28285714285714303,0.8660254037844386,0.5000000000000001,0.8498170915275278,0.5270777086423722
BD00052021,106.36,10.56,0.39,2021-03-15,0.32,131.4521405591422,1.24,0.7399999999999999,0.3342857142857145,1.0,6.123233995736766e-17,0.9562348265919056,0.29260033563334836
BD00052021,106.36,10.56,0.39,2021-03-29,0.3,131.4521405591422,0.93,0.41333333333333316,0.08428571428571449,1.0,6.123233995736766e-17,0.9984354211555643,0.055916990100603484
BD00052021,106.36,10.56,0.39,2021-04-14,0.2,131.4521405591422,1.11,0.8433333333333334,0.38285714285714306,0.8660254037844387,-0.4999999999999998,0.9760105506323683,-0.21772323039653177
BD00052021,106.36,10.56,0.39,2021-04-28,0.3,131.4521405591422,0.89,0.18999999999999995,-0.06285714285714263,0.8660254037844387,-0.4999999999999998,0.895839290734909,-0.4443781781046132
BD00052021,106.36,10.56,0.39,2021-05-14,0.2,131.4521405591422,0.93,1.0599999999999998,0.585714285714286,0.49999999999999994,-0.8660254037844387,0.7412220108485958,-0.6712599575675313
BD00062019,106.49,10.38,1.03,2019-03-04,0.2,150.33330946754674,0.68,0.2999999999999997,0.3857142857142858,1.0,6.123233995736766e-17,0.8840675099433636,0.4673592171580022
BD00062019,106.49,10.38,1.03,2019-03-18,0.1,150.33330946754674,0.26,0.0999999999999997,0.3485714285714287,1.0,6.123233995736766e-17,0.9700639218515071,0.2428497220959356
BD00062019,106.49,10.38,1.03,2019-04-02,0.3,150.33330946754674,0.5700000000000001,0.37999999999999984,0.5014285714285716,0.8660254037844387,-0.4999999999999998,0.9999166586547379,-0.01291029607500882
BD00062019,106.49,10.38,1.03,2019-04-16,0.2,150.33330946754674,0.24,0.1333333333333332,0.542857142857143,0.8660254037844387,-0.4999999999999998,0.9679377830240642,-0.25119006388481935
BD00062019,106.49,10.38,1.03,2019-05-01,0.2,150.33330946754674,0.37,0.25999999999999984,0.47571428571428587,0.49999999999999994,-0.8660254037844387,0.8717063187093218,-0.4900286664290592
BD00062019,106.49,10.38,1.03,2019-05-16,0.2,150.33330946754674,0.44,0.19999999999999982,0.38000000000000017,0.49999999999999994,-0.8660254037844387,0.717676913675962,-0.6963762255968722
BD00062019,106.49,10.38,1.03,2019-06-01,0.3,150.33330946754674,0.42,0.19666666666666655,0.21571428571428583,1.2246467991473532e-16,-1.0,0.5012418134457758,-0.865307254363206
BD00062019,106.49,10.38,1.04,2019-06-19,0.3,150.33330946754674,1.12,0.8366666666666666,0.5571428571428573,1.2246467991473532e-16,-1.0,0.21352091543979612,-0.9769384927771817
BD00062020,106.49,10.38,0.57,2020-03-09,1.9,150.33330946754674,0.13,-0.03000000000000022,0.09285714285714299,1.0,6.123233995736766e-17,0.9275416835791966,0.37371971479046906
BD00062020,106.49,10.38,0.57,2020-03-27,1.72,150.33330946754674,0.87,0.4299999999999997,0.2371428571428573,1.0,6.123233995736766e-17,0.9973249731081555,0.07309512989807777
BD00062020,106.49,10.38,0.41,2020-04-27,1.97,150.33330946754674,0.72,0.7733333333333331,0.482857142857143,0.8660254037844387,-0.4999999999999998,0.895839290734909,-0.4443781781046132
BD00062020,106.49,10.38,0.41,2020-05-09,1.52,150.33330946754674,0.92,0.17666666666666642,0.054285714285714416,0.49999999999999994,-0.8660254037844387,0.7856498550787147,-0.6186714032625031
BD00062020,106.49,10.38,0.41,2020-05-25,1.15,150.33330946754674,0.68,0.5699999999999997,0.14714285714285727,0.49999999999999994,-0.8660254037844387,0.5877852522924732,-0.8090169943749473
BD00062020,106.49,10.38,0.41,2020-06-09,1.98,150.33330946754674,0.85,0.6466666666666665,0.11571428571428584,1.2246467991473532e-16,-1.0,0.36171373072976765,-0.9322892131745133
BD00062020,106.49,10.38,0.41,2020-06-23,2.12,150.33330946754674,0.8200000000000001,0.5299999999999998,0.018571428571428683,1.2246467991473532e-16,-1.0,0.12874817745258132,-0.99167731989929
BD00062021,106.49,10.38,0.39,2021-01-29,0.17,150.33330946754674,0.81,0.5566666666666665,0.5485714285714287,0.49999999999999994,0.8660254037844387,0.47873384011578846,0.8779600847008882
BD00062021,106.49,10.38,0.38,2021-02-28,0.6,150.33330946754674,0.61,0.30666666666666653,0.21000000000000016,0.8660254037844386,0.5000000000000001,0.8498170915275278,0.5270777086423722
BD00062021,106.49,10.38,0.38,2021-03-15,0.44,150.33330946754674,1.02,0.4633333333333332,0.17857142857142877,1.0,6.123233995736766e-17,0.9562348265919056,0.29260033563334836
BD00062021,106.49,10.38,0.38,2021-03-29,0.3,150.33330946754674,0.5700000000000001,0.20333333333333317,-0.01714285714285696,1.0,6.123233995736766e-17,0.9984354211555643,0.055916990100603484
BD00062021,106.49,10.38,0.38,2021-04-14,0.6,150.33330946754674,1.07,0.5866666666666666,0.19428571428571448,0.8660254037844387,-0.4999999999999998,0.9760105506323683,-0.21772323039653177
BD00062021,106.49,10.38,0.38,2021-04-28,0.5,150.33330946754674,0.48,-0.0333333333333334,-0.14285714285714263,0.8660254037844387,-0.4999999999999998,0.895839290734909,-0.4443781781046132
BD00062021,106.49,10.38,0.38,2021-05-14,0.2,150.33330946754674,1.04,0.8766666666666666,0.43571428571428594,0.49999999999999994,-0.8660254037844387,0.7412220108485958,-0.6712599575675313
BD00072019,106.4,10.49,1.04,2019-03-04,0.2,137.46404850604512,0.68,0.2999999999999997,0.3857142857142858,1.0,6.123233995736766e-17,0.8840675099433636,0.4673592171580022
BD00072019,106.4,10.49,1.04,2019-03-18,0.1,137.46404850604512,0.26,0.0999999999999997,0.3485714285714287,1.0,6.123233995736766e-17,0.9700639218515071,0.2428497220959356
BD00072019,106.4,10.49,1.04,2019-04-02,0.2,137.46404850604512,0.5700000000000001,0.37999999999999984,0.5014285714285716,0.8660254037844387,-0.4999999999999998,0.9999166586547379,-0.01291029607500882
BD00072019,106.4,10.49,1.04,2019-04-16,0.1,137.46404850604512,0.24,0.1333333333333332,0.542857142857143,0.8660254037844387,-0.4999999999999998,0.9679377830240642,-0.25119006388481935
BD00072019,106.4,10.49,1.04,2019-05-01,0.2,137.46404850604512,0.37,0.25999999999999984,0.47571428571428587,0.49999999999999994,-0.8660254037844387,0.8717063187093218,-0.4900286664290592
BD00072019,106.4,10.49,1.04,2019-05-16,0.1,137.46404850604512,0.44,0.19999999999999982,0.38000000000000017,0.49999999999999994,-0.8660254037844387,0.717676913675962,-0.6963762255968722
BD00072019,106.4,10.49,0.65,2019-06-01,0.3,137.46404850604512,0.42,0.19666666666666655,0.21571428571428583,1.2246467991473532e-16,-1.0,0.5012418134457758,-0.865307254363206
BD00072019,106.4,10.49,0.65,2019-06-19,0.1,137.46404850604512,1.12,0.8366666666666666,0.5571428571428573,1.2246467991473532e-16,-1.0,0.21352091543979612,-0.9769384927771817
BD00072020,106.4,10.49,0.41,2020-03-09,1.1,137.46404850604512,0.13,-0.03000000000000022,0.09285714285714299,1.0,6.123233995736766e-17,0.9275416835791966,0.37371971479046906
BD00072020,106.4,10.49,0.41,2020-03-27,1.42,137.46404850604512,0.87,0.4299999999999997,0.2371428571428573,1.0,6.123233995736766e-17,0.9973249731081555,0.07309512989807777
BD00072020,106.4,10.49,0.41,2020-04-27,1.51,137.46404850604512,0.72,0.7733333333333331,0.482857142857143,0.8660254037844387,-0.4999999999999998,0.895839290734909,-0.4443781781046132
BD00072020,106.4,10.49,0.32,2020-05-09,1.26,137.46404850604512,0.92,0.17666666666666642,0.054285714285714416,0.49999999999999994,-0.8660254037844387,0.7856498550787147,-0.6186714032625031
